,nl_query,db
2368,"Retrieve all recipes containing the ingredient ""chicken.""
",nosql
2369,"Find projects where the deadline is overdue.
",nosql
2370,"Show all documents with a field value that starts with 'A.'
",nosql
2371,"Fetch all photos uploaded by a user.
",nosql
2372,"Find all documents with nested fields.
",nosql
2373,"Retrieve all sales data for the current quarter.
",nosql
2374,"List users who have not logged in for the past 30 days.
",nosql
2375,"Show all documents referencing image files.
",nosql
2376,"Get all reviews with a score less than 3.
",nosql
2377,"Retrieve the latest announcements made.
",nosql
2378,"List all books authored by a particular writer.
",nosql
2379,"Find all documents where the priority is high.
",nosql
2380,"Show comments posted before a certain date.
",nosql
2381,"Retrieve all job applications with the status 'approved.'
",nosql
2382,"Find documents by a specific key-value pair.
",nosql
2383,"Get all meeting schedules for the upcoming month.
",nosql
2384,"List all invoices with a specific currency type.
",nosql
2385,"Show products currently on sale.
",nosql
2386,"Retrieve user profiles with specific preferences.
",nosql
2387,"Find transactions that were refunded.
",nosql
2388,"List all data entries without a timestamp.
",nosql
2389,"Fetch all receipts from a certain online store.
",nosql
2390,"Show all houses listed for rent in a city.
",nosql
2391,"Retrieve all game scores above a certain threshold.
",nosql
2392,"List all orders shipped internationally.
",nosql
2393,"Find where reviews mention ""customer service.""
",nosql
2394,"Retrieve the history of a specific asset.
",nosql
2395,"Show all messages sent to a particular group.
",nosql
2396,"Fetch events organized by a particular host.
",nosql
2397,"Find products with a discount applied.
",nosql
2398,"Retrieve all inventory items low in stock.
",nosql
2399,"Show all designs submitted by a particular user.
",nosql
2400,"List courses available in a specific department.
",nosql
2401,"Retrieve images that are high-resolution.
",nosql
2402,"Find records with flagged warnings.
",nosql
2403,"Show movies released in the last decade.
",nosql
2404,"List all customer service inquiries marked urgent.
",nosql
2405,"Retrieve holiday packages available.
",nosql
2406,"Find sports activities for children.
",nosql
2407,"Show all volunteer opportunities in your area.
",nosql
2408,"List official announcements from last year.
",nosql
2409,"Retrieve all templates designed for flyers.
",nosql
2410,"Find all music tracks by a specific artist.
",nosql
2411,"Show all documents referencing external links.
",nosql
2412,"List recipes that are vegan.
",nosql
2413,"Retrieve all scheduled conferences in August.
",nosql
2414,"Find all chat logs with attachments.
",nosql
2415,"Show all paintings created in the 19th century.
",nosql
2416,"Retrieve performance reviews from last cycle.
",nosql
2417,"List attendees for an event.
",nosql
2418,"Find contracts that are due for renewal.
",nosql
2419,"Show all exported data sets.
",nosql
2420,"Retrieve user agreements signed within a year.
",nosql
2421,"Find promotional emails sent by the marketing team.
",nosql
2422,"Show all applications with open status.
",nosql
2423,"List job vacancies listed under technology.
",nosql
2424,"Retrieve tips for traveling in Asia.
",nosql
2425,"Find e-books in the mystery genre.
",nosql
2426,"Show films directed by a specific filmmaker.
",nosql
2427,"List all businesses launched last quarter.
",nosql
2428,"Retrieve patches for a software update.
",nosql
2429,"Find all client feedback forms submitted.
",nosql
2430,"Show archived news articles from 2010.
",nosql
2431,"List network requests timed out.
",nosql
2432,"Retrieve logs flagged for review.
",nosql
2433,"Find charities focused on education.
",nosql
2434,"Show all patent filings by the company.
",nosql
2435,"List campaign data from last year.
",nosql
2436,"Retrieve patient records updated recently.
",nosql
2437,"Find error messages from the log system.
",nosql
2438,"Show all accounting entries for 2022 fiscal year.
",nosql
2439,"Retrieve all musician bios featuring awards.
",nosql
2440,"Find real estate listings for luxury condos.
",nosql
2441,"Show DIY projects using only recycled materials.
",nosql
2442,"List all programming tutorials on databases.
",nosql
2443,"Retrieve sessions with more than 50 participants.
",nosql
2444,"Find all plant species native to the region.
",nosql
2445,"Show team rosters for the upcoming sports season.
",nosql
2446,"List workshop registrations exceeding capacity.
",nosql
2447,"Retrieve editorial pieces commenting on policy.
",nosql
2448,"Show transactions finalized on weekends.
",nosql
2449,"List community events with free entry.
",nosql
2450,"Retrieve all tutorials related to crafts.
",nosql
2451,"Find lists containing organizational tips.
",nosql
2452,"Show all tech support tickets closed this week.
",nosql
2453,"List groups for professional development networking.
",nosql
2454,"Retrieve trends in renewable energy statistics.
",nosql
2455,"Find documentation drafts saved by editors.
",nosql
2456,"Retrieve all documents where the user's age is greater than 30.
",nosql
2457,"Find all orders placed in December 2022.
",nosql
2458,"Get the names of all employees who work in the ""Engineering"" department.
",nosql
2459,"List all products with a price less than $50.
",nosql
2460,"Count the number of documents in the ""customers"" collection.
",nosql
2461,"Find documents with an email domain of ""example.com"".
",nosql
2462,"Retrieve all blog posts tagged with ""MongoDB"".
",nosql
2463,"List all invoices with a status of ""unpaid"".
",nosql
2464,"Find the top 5 most expensive items.
",nosql
2465,"Retrieve documents where the ""status"" is either ""active"" or ""pending"".
",nosql
2466,"List users who have logged in within the last 7 days.
",nosql
2467,"Get all documents that have a ""null"" value in the ""address"" field.
",nosql
2468,"Find all books authored by ""John Doe"".
",nosql
2469,"Retrieve documents containing a specific word in the ""description"" field.
",nosql
2470,"List all comments made on a particular blog post.
",nosql
2471,"Find users whose registration date is before January 1, 2023.
",nosql
2472,"Retrieve all profiles with more than 1000 followers.
",nosql
2473,"List all venues available for a specific date range.
",nosql
2474,"Find all movies released in 2021.
",nosql
2475,"Get all documents where the ""score"" is in the top 10 percentile.
",nosql
2476,"List products that are currently out of stock.
",nosql
2477,"Find all documents with an embedded document matching specific criteria.
",nosql
2478,"Retrieve documents with array fields containing a specific element.
",nosql
2479,"List all employees with more than 5 years of experience.
",nosql
2480,"Find the sum of all ""sales"" for a specific product.
",nosql
2481,"Retrieve users whose ""last_login"" is after a certain timestamp.
",nosql
2482,"List all active users with a verified email address.
",nosql
2483,"Get documents where ""rating"" is greater than or equal to 4.
",nosql
2484,"Find documents with a ""created_at"" date within the last month.
",nosql
2485,"List all transactions above a specific dollar amount.
",nosql
2486,"Retrieve documents where any field contains ""urgent"".
",nosql
2487,"Find profiles located within 50 miles of a specific geolocation.
",nosql
2488,"Get all albums by a specific artist.
",nosql
2489,"List documents with fields matching regular expression patterns.
",nosql
2490,"Find reservations that overlap with a given time slot.
",nosql
2491,"Retrieve all documents without a ""deleted_at"" timestamp.
",nosql
2492,"List all messages sent by a user with a specific ID.
",nosql
2493,"Get documents with a specific value in the first position of an array.
",nosql
2494,"Find profiles where the ""bio"" field is not empty.
",nosql
2495,"Retrieve all documents with a ""true"" value for a Boolean field.
",nosql
2496,"List employees who joined in the year 2020.
",nosql
2497,"Get documents with a specific category and a price range.
",nosql
2498,"Find all events happening in a particular city.
",nosql
2499,"Retrieve documents that do not contain a certain field.
",nosql
2500,"List all posts with more than 100 likes.
",nosql
2501,"Find all accounts created within the last year.
",nosql
2502,"Retrieve documents with specific nested field criteria.
",nosql
2503,"List products sorted by ""release_date"" in descending order.
",nosql
2504,"Find documents where the ""author"" matches a given ID.
",nosql
2505,"Retrieve all jobs with ""remote"" in their description.
",nosql
2506,"List all restaurants serving a specific type of cuisine.
",nosql
2507,"Find documents with exactly 3 elements in an array field.
",nosql
2508,"Retrieve sessions lasting longer than a specific duration.
",nosql
2509,"List all accounts with names starting with ""A"".
",nosql
2510,"Find all unpublished articles.
",nosql
2511,"Retrieve user profiles created after a specific date.
",nosql
2512,"List all devices connected in the last hour.
",nosql
2513,"Get documents where a specific field exists.
",nosql
2514,"Find all teams having more than 8 members.
",nosql
2515,"Retrieve all feedback with a ""negative"" sentiment label.
",nosql
2516,"List all courses taught by a certain instructor.
",nosql
2517,"Find documents containing numeric values within a range.
",nosql
2518,"Retrieve products with discounts greater than 20%.
",nosql
2519,"List all contracts expiring in the next 3 months.
",nosql
2520,"Find users with incomplete profiles.
",nosql
2521,"Retrieve documents with duplicate emails.
",nosql
2522,"List all projects with a ""completed"" status.
",nosql
2523,"Find all reviews with a 5-star rating.
",nosql
2524,"Retrieve all books within a certain ISBN range.
",nosql
2525,"List documents grouped by a specific field.
",nosql
2526,"Find sessions with no associated user.
",nosql
2527,"Retrieve all collections with documents exceeding 1MB size.
",nosql
2528,"List users with a specific role or permission.
",nosql
2529,"Get documents using a complex query on multiple fields.
",nosql
2530,"Find all tickets sold for a specific concert.
",nosql
2531,"Retrieve all students enrolled in a specific semester.
",nosql
2532,"List all animals with a microchip ID.
",nosql
2533,"Find documents modified within the last 24 hours.
",nosql
2534,"Retrieve events with more than 100 attendees.
",nosql
2535,"List all athletes managed by a specific agent.
",nosql
2536,"Get documents where an embedded array matches criteria.
",nosql
2537,"Find products made by a specific manufacturer.
",nosql
2538,"Retrieve all recipes with ""vegan"" in their title.
",nosql
2539,"List users with birthdays in January.
",nosql
2540,"Find reports submitted by a specific department.
",nosql
2541,"Retrieve all documents without child documents.
",nosql
2542,"List all digital products available for download.
",nosql
2543,"Find lectures scheduled for the current week.
",nosql
2544,"Retrieve discussions with replies from more than 10 users.
",nosql
2545,"List all programming languages used in a project.
",nosql
2546,"Find all artists with an album count greater than 4.
",nosql
2547,"Retrieve documents with additional metadata fields.
",nosql
2548,"List all trips booked through a certain travel agency.
",nosql
2549,"Find contracts with an auto-renewal clause.
",nosql
2550,"Retrieve all subjects taught in a specific school year.
",nosql
2551,"List events not categorized under any label.
",nosql
2552,"Find all vacant positions in a company.
",nosql
2553,"Retrieve documents where the value starts with a number.
",nosql
2554,"List all newsletters sent after a given date.
",nosql
2555,"Find issues reported with a specific software version.
",nosql
2556,"Retrieve all comments flagged as inappropriate.
",nosql
2557,"List animals available for adoption.
",nosql
2558,"Find orders pending for more than a week.
",nosql
2559,"Retrieve all questions with a specific tag.
",nosql
2560,"List all assets owned by a particular division.
",nosql
2561,"Find all leads generated from a marketing campaign.
",nosql
2562,"Retrieve club members joined after a specific event.
",nosql
2563,"List all goods exported in 2023.
",nosql
2564,"Find documents with field names matching a specific regex.
",nosql
2565,"What is the total number of users registered in our database?
",nosql
2566,"Find the user's profile with the username ""john_doe"".
",nosql
2567,"Retrieve all products that have a stock level below 20 units.
",nosql
2568,"List all orders placed in the last 30 days.
",nosql
2569,"Show all customers with an email address from the domain ""gmail.com"".
",nosql
2570,"Find posts that have more than 100 likes.
",nosql
2571,"Search for all movies released in the year 2021.
",nosql
2572,"Retrieve all blogs tagged with ""technology"".
",nosql
2573,"Find users who have made at least one purchase this year.
",nosql
2574,"Show all songs longer than four minutes duration.
",nosql
2575,"List all employees who joined in the last six months.
",nosql
2576,"Find the highest-priced product in the electronics category.
",nosql
2577,"Retrieve details of the latest five articles published.
",nosql
2578,"List all cities where the order volume exceeds 50.
",nosql
2579,"Find names of all authors with more than five publications.
",nosql
2580,"Show all comments containing the keyword ""excellent"".
",nosql
2581,"Retrieve all recipes that include ""chocolate"" as an ingredient.
",nosql
2582,"Find all books with a rating higher than four stars.
",nosql
2583,"List all products with a discount greater than 10%.
",nosql
2584,"Find all photos uploaded by user ""alice123"".
",nosql
2585,"Retrieve all events scheduled for the month of December.
",nosql
2586,"Show all employees who work in the ""marketing"" department.
",nosql
2587,"List all vendors located in California.
",nosql
2588,"Find all transactions exceeding $1,000.
",nosql
2589,"Retrieve all issues reported in the last 24 hours.
",nosql
2590,"Show all feedback with a user rating of five stars.
",nosql
2591,"Retrieve all students enrolled in the ""data science"" course.
",nosql
2592,"Find all video games with an age rating of ""Teen"".
",nosql
2593,"List all vehicles manufactured after the year 2015.
",nosql
2594,"Show all job postings tagged as ""remote"".
",nosql
2595,"Retrieve all properties within a 10-mile radius of New York City.
",nosql
2596,"Find all restaurants with a delivery option.
",nosql
2597,"List all open tickets in the support system.
",nosql
2598,"Retrieve details of the top ten most popular products.
",nosql
2599,"Show all flights departing from Los Angeles.
",nosql
2600,"List all emails sent to the address ""support@example.com"".
",nosql
2601,"Find all messages marked as ""urgent"".
",nosql
2602,"Retrieve all notifications sent within the last hour.
",nosql
2603,"Show all images labeled as ""nature"".
",nosql
2604,"List all languages spoken by more than a million users.
",nosql
2605,"Retrieve all applications with a status of ""pending"".
",nosql
2606,"Find all books authored by ""Stephen King"".
",nosql
2607,"Show all accounts that have been inactive for over 90 days.
",nosql
2608,"Retrieve all invoice records from January 2023.
",nosql
2609,"Find all pets available for adoption in ""San Francisco"".
",nosql
2610,"List all podcasts with a runtime less than 30 minutes.
",nosql
2611,"Retrieve all transaction histories for ""account_id_123"".
",nosql
2612,"Find all classes that are scheduled on Mondays.
",nosql
2613,"Show all promotional offers available currently.
",nosql
2614,"List all permits issued in the ""construction"" sector.
",nosql
2615,"Retrieve all website visits within the last week.
",nosql
2616,"Find all cities with a population over a million.
",nosql
2617,"Show all hotels with a star rating of five.
",nosql
2618,"Retrieve all chapters under the ""introduction"" section.
",nosql
2619,"List all stores open past 9 PM.
",nosql
2620,"Find all films directed by ""Christopher Nolan"".
",nosql
2621,"Show all tasks assigned to team ""alpha"".
",nosql
2622,"Retrieve all notes with the tag ""important"".
",nosql
2623,"Find all software updates released this quarter.
",nosql
2624,"List all anime series with more than 50 episodes.
",nosql
2625,"Show all bank branches located in ""downtown"".
",nosql
2626,"Retrieve all newsletters sent in April 2022.
",nosql
2627,"Find all datasets categorized under ""environment"".
",nosql
2628,"List all virtual reality games compatible with Oculus.
",nosql
2629,"Retrieve all calendar events for February 14th.
",nosql
2630,"Find all trains arriving at ""Station A"" before noon.
",nosql
2631,"Show all tutorials related to ""machine learning"".
",nosql
2632,"List all documentaries with ""award-winning"" mentions.
",nosql
2633,"Retrieve all ""read"" status notifications.
",nosql
2634,"Find all weather reports for the past seven days.
",nosql
2635,"Show all real estate listings priced under $500,000.
",nosql
2636,"List all business accounts registered since 2020.
",nosql
2637,"Retrieve all recipes suitable for ""vegetarian"" diets.
",nosql
2638,"Find all runners registered for the ""city marathon"".
",nosql
2639,"Show all museums offering free entry.
",nosql
2640,"Retrieve all clothing items in the ""summer"" collection.
",nosql
2641,"Find all adventure parks near ""Miami"".
",nosql
2642,"List all foreign exchange rates between USD and EUR.
",nosql
2643,"Retrieve all grant applications submitted this month.
",nosql
2644,"Show all faculty members teaching ""biology"".
",nosql
2645,"Find all threads with more than 50 comments.
",nosql
2646,"List all mobile apps developed by ""TechCorp"".
",nosql
2647,"Retrieve all published patents by ""Innovate Inc."".
",nosql
2648,"Find all journal entries with ""grateful"" as a keyword.
",nosql
2649,"Show all items included in the clearance sale.
",nosql
2650,"Retrieve all requests marked as ""high priority"".
",nosql
2651,"Find all training modules completed by ""employee_id_456"".
",nosql
2652,"List all fantasy books in our inventory.
",nosql
2653,"Show all hiking trails open during winter.
",nosql
2654,"Retrieve all biographies written in the 20th century.
",nosql
2655,"Find all artwork on display in the ""modern art"" section.
",nosql
2656,"List all awards won by actor ""Leonardo DiCaprio"".
",nosql
2657,"Retrieve all bills with a due date past today's date.
",nosql
2658,"Find all libraries offering ""ebook"" loans.
",nosql
2659,"Show all tweets with the hashtag ""#InnovationSummit"".
",nosql
2660,"Retrieve all workshops related to ""leadership skills"".
",nosql
2661,"Find all discounts applicable for ""first-time buyers"".
",nosql
2662,"List all playlist titles created by ""dj_smith"".
",nosql
2663,"Show all experiences tagged under ""extreme sports"".
",nosql
2664,"Retrieve all customer support chats from last Friday.
",nosql
2665,"Find all bicycles available for rent in ""Central Park"".
",nosql
2666,"List all APIs used in the ""WeatherApp"" project.
",nosql
2667,"Retrieve all feature films with subtitles in Spanish.
",nosql
2668,"Find all user comments posted on ""RecipeBlog"".
",nosql
2669,"Show all band performances at ""Jazz Festival"".
",nosql
2670,"List all construction projects completed this summer.
",nosql
2671,"Retrieve all personalized recommendations for ""user123"".
",nosql
2672,"Find all annual reports archived in 2022.
",nosql
2673,"Show all fundraising activities by ""CharityOrg"".
",nosql
2674,"Retrieve all interactive tutorials for ""web development"".
",nosql
2675,"Find all campus events marked as ""open to public"".",nosql
2676,"""Retrieve all users who signed up in the last month.""
",nosql
2677,"""Find all products with a price greater than $100.""
",nosql
2678,"""Get customer reviews with at least four stars.""
",nosql
2679,"""List all blog posts tagged with 'technology'.""
",nosql
2680,"""Show all orders placed by customer ID 12345.""
",nosql
2681,"""Display all items with a quantity less than 10 in stock.""
",nosql
2682,"""Fetch all employees working in the 'Sales' department.""
",nosql
2683,"""Retrieve articles published after January 1, 2023.""
",nosql
2684,"""Find documents where the status is 'pending'.""
",nosql
2685,"""Get all events scheduled in August 2023.""
",nosql
2686,"""Show all tickets with priority 'high'.""
",nosql
2687,"""Retrieve customer records with last names starting with 'S'.""
",nosql
2688,"""List all transactions exceeding $1,000.""
",nosql
2689,"""Display details of all active projects.""
",nosql
2690,"""Find all entries with keywords 'data science'.""
",nosql
2691,"""Get all books by the author 'George Orwell'.""
",nosql
2692,"""Show all profiles where the age is above 30.""
",nosql
2693,"""Retrieve all multimedia files larger than 500MB.""
",nosql
2694,"""List all messages containing the word 'urgent'.""
",nosql
2695,"""Display all records updated within the last 24 hours.""
",nosql
2696,"""Find all products with a discount greater than 20%.""
",nosql
2697,"""Get orders with payment status 'completed'.""
",nosql
2698,"""Show all employees who joined in the year 2021.""
",nosql
2699,"""Retrieve details of movies rated 5 stars.""
",nosql
2700,"""List all active members in the database.""
",nosql
2701,"""Display all courses offered in the 'Fall' semester.""
",nosql
2702,"""Find all inquiries submitted to customer service.""
",nosql
2703,"""Get all inventory items that are out of stock.""
",nosql
2704,"""Show all app users with verified emails.""
",nosql
2705,"""Retrieve all past events from the calendar.""
",nosql
2706,"""List all devices registered in the system.""
",nosql
2707,"""Display all tasks marked as 'in progress'.""
",nosql
2708,"""Find all invoices issued in February 2023.""
",nosql
2709,"""Get details of all available promotions.""
",nosql
2710,"""Show all feedback forms with a rating of 5.""
",nosql
2711,"""Retrieve all donation records over $500.""
",nosql
2712,"""List all accounts with premium subscriptions.""
",nosql
2713,"""Display all recipes containing 'chocolate'.""
",nosql
2714,"""Find all discussions about 'machine learning'.""
",nosql
2715,"""Get all playlists created by user 'john_doe'.""
",nosql
2716,"""Show all job listings for 'software engineer'.""
",nosql
2717,"""Retrieve workshop events happening this year.""
",nosql
2718,"""List all active payment gateways.""
",nosql
2719,"""Display all records with the tag 'emergency'.""
",nosql
2720,"""Find all messages sent by 'admin'.""
",nosql
2721,"""Get all complaints regarding 'billing'.""
",nosql
2722,"""Show all courses with 'beginner' difficulty.""
",nosql
2723,"""Retrieve all high-priority alerts issued.""
",nosql
2724,"""List all webinars scheduled for March 2023.""
",nosql
2725,"""Display all house listings in 'New York'.""
",nosql
2726,"""Find all registered patents of 2022.""
",nosql
2727,"""Get all recipes categorized as 'vegan'.""
",nosql
2728,"""Show all system logs for user 'alice'.""
",nosql
2729,"""Retrieve all book editions from year 2020.""
",nosql
2730,"""List all workshops with open registrations.""
",nosql
2731,"""Display all posts liked by user 'jane_doe'.""
",nosql
2732,"""Find all cars with mileage below 20,000.""
",nosql
2733,"""Get details of all music albums released this year.""
",nosql
2734,"""Show all branches with the status 'open'.""
",nosql
2735,"""Retrieve all loans with due dates in December.""
",nosql
2736,"""List all cultural events in 'Los Angeles'.""
",nosql
2737,"""Display all notifications marked as 'important'.""
",nosql
2738,"""Find all available flights to 'Tokyo'.""
",nosql
2739,"""Get all customer inquiries marked as resolved.""
",nosql
2740,"""Show all unresolved support tickets.""
",nosql
2741,"""Retrieve all export orders for company 'XYZ'.""
",nosql
2742,"""List all catalog items categorized as 'electronics'.""
",nosql
2743,"""Display all received friend requests by user 'mark'.""
",nosql
2744,"""Find all alerts for account '123ABC'.""
",nosql
2745,"""Get records login attempts failed from IP '192.168.1.1'.""
",nosql
2746,"""Show seminars related to 'healthcare'.""
",nosql
2747,"""Retrieve all complaints resolved within 48 hours.""
",nosql
2748,"""List all books translated into 'Spanish'.""
",nosql
2749,"""Display verified sellers on the platform.""
",nosql
2750,"""Find all public events in 'April'.""
",nosql
2751,"""Get all ongoing software projects.""
",nosql
2752,"""Show agreements signed by the 'Marketing' department.""
",nosql
2753,"""Retrieve all payment records for 'Phase 1'.""
",nosql
2754,"""List all homes sold in 'California' this year.""
",nosql
2755,"""Display upcoming sports tournaments.""
",nosql
2756,"""Find potential leads generated from 'Twitter'.""
",nosql
2757,"""Get archived newsletters sent in 2021.""
",nosql
2758,"""Show all galleries featuring 'impressionist art'.""
",nosql
2759,"""Retrieve all server error logs.""
",nosql
2760,"""List all investment portfolios of 'John Smith'.""
",nosql
2761,"""Display payment transactions for customer 'C910'.""
",nosql
2762,"""Find pending friend requests for user 'susan'.""
",nosql
2763,"""Get event participants named 'David'.""
",nosql
2764,"""Show all incomplete user profiles.""
",nosql
2765,"""Retrieve pets available for adoption in 'Florida'.""
",nosql
2766,"""List all job vacancies offering 'remote work'.""
",nosql
2767,"""Display all clinics with COVID-19 vaccines available.""
",nosql
2768,"""Find reviews mentioning 'excellent service'.""
",nosql
2769,"""Get movies directed by 'Alfred Hitchcock'.""
",nosql
2770,"""Show offers valid till 'March 31, 2023'.""
",nosql
2771,"""Retrieve all theme-based newsletters.""
",nosql
2772,"""List all property rentals in 'London'.""
",nosql
2773,"""Display restaurants with 'vegan' menu options.""
",nosql
2774,"""Find all contact entries with missing phone numbers.""
",nosql
2775,"""Get all team members involved in 'Project X'.""
",nosql
2776,"""Show all employees eligible for promotion.""
",nosql
2777,"""Retrieve music tracks with over 1 million plays.""
",nosql
2778,"""List all seasonal discounts for 'Summer'.""
",nosql
2779,"""Display upcoming book launches.""
",nosql
2780,"""Find all blogs posted by 'guest authors'.""
",nosql
2781,"""Get system alerts referencing 'out of memory'.""
",nosql
2782,"""Show purchase orders from vendor 'ABC Supplies'.""
",nosql
2783,"""Retrieve all photo albums with more than 100 likes.""
",nosql
2784,"""List companies with ongoing 'ISO' certification.""
",nosql
2785,"What is the total revenue generated by each product category this quarter?
",rdbms
2786,"How many employees are in each department of the company?
",rdbms
2787,"List all customers who have placed more than five orders in the past year.
",rdbms
2788,"What is the average salary of employees by department?
",rdbms
2789,"Retrieve the top 10 best-selling products of the month.
",rdbms
2790,"Show all suppliers providing parts for the automotive division.
",rdbms
2791,"Find the number of orders processed each day this week.
",rdbms
2792,"Identify the employee who has been with the company the longest.
",rdbms
2793,"What is the highest-rated movie in each genre?
",rdbms
2794,"Display the inventory count for each product in stock.
",rdbms
2795,"List the names of customers along with their last purchase date.
",rdbms
2796,"How many distinct job titles exist within the company?
",rdbms
2797,"Find the five most recent hires in the organization.
",rdbms
2798,"Get the name and age of all customers who are older than 50.
",rdbms
2799,"Which products have not seen any sales in the last 30 days?
",rdbms
2800,"Retrieve the full order history of a particular customer.
",rdbms
2801,"Identify projects that have been completed under budget.
",rdbms
2802,"Get the total number of hours logged by each employee on all projects.
",rdbms
2803,"Show sales figures for each region in the past year.
",rdbms
2804,"What is the average customer satisfaction score by service representative?
",rdbms
2805,"Get the list of all active memberships in the gym.
",rdbms
2806,"Which students have overdue library books?
",rdbms
2807,"Retrieve all payment details made via credit card this month.
",rdbms
2808,"How many items are currently on backorder?
",rdbms
2809,"Display customer feedback ratings for each service provided.
",rdbms
2810,"List all employees who have not taken any leave in the past six months.
",rdbms
2811,"Find the most expensive product in each department.
",rdbms
2812,"Show the breakdown of expenses by category for last month.
",rdbms
2813,"Retrieve the counts of each type of violation issued by the police department.
",rdbms
2814,"How much have customers spent on average per order?
",rdbms
2815,"Identify all branches of the bank along with the number of accounts managed.
",rdbms
2816,"List the past five years’ annual sales growth percentage.
",rdbms
2817,"How many students graduated this semester with honors?
",rdbms
2818,"Get the total sales amount per salesperson.
",rdbms
2819,"Show the list of workshops scheduled in the upcoming quarter.
",rdbms
2820,"Retrieve all transactions that occurred in the last five days.
",rdbms
2821,"Which courses have the highest enrollment numbers this semester?
",rdbms
2822,"Show the number of units sold per product for the current year.
",rdbms
2823,"Generate a list of employees with anniversaries this month.
",rdbms
2824,"How many tickets were resolved by each support agent?
",rdbms
2825,"Find products with stock levels below the reorder threshold.
",rdbms
2826,"List the top 5 cities where the most purchases were made.
",rdbms
2827,"Retrieve the full audit trail for a specific financial account.
",rdbms
2828,"What are the average scores for each exam taken by students this semester?
",rdbms
2829,"Get a list of all invoices marked as overdue.
",rdbms
2830,"Identify the suppliers located in Europe.
",rdbms
2831,"List all service requests made on weekends.
",rdbms
2832,"How many rooms are available in each hotel of the chain?
",rdbms
2833,"Get the inventory value for each product category.
",rdbms
2834,"Retrieve the names of patients with appointments this week.
",rdbms
2835,"Show all properties available for rent with more than three bedrooms.
",rdbms
2836,"List all events scheduled at the convention center this year.
",rdbms
2837,"What is the success rate of closing deals per sales agent?
",rdbms
2838,"Find the total number of projects handled by each team.
",rdbms
2839,"Retrieve the names and phone numbers of emergency contacts for all employees.
",rdbms
2840,"List all published articles in a specific journal for the last decade.
",rdbms
2841,"Show the current status of all maintenance requests submitted this month.
",rdbms
2842,"Get the total number of units returned for each product.
",rdbms
2843,"Identify all active and inactive accounts along with their balances.
",rdbms
2844,"What are the average delivery times for each shipping method?
",rdbms
2845,"Find out the attrition rate by department over the past five years.
",rdbms
2846,"Show all credits and debits made to a particular account number.
",rdbms
2847,"List all pending applications for the upcoming academic year.
",rdbms
2848,"How many courses must a student complete to earn a particular degree?
",rdbms
2849,"Get the usage statistics for each software program installed in the company.
",rdbms
2850,"Retrieve the breakdown of customer demographics by region.
",rdbms
2851,"Find the list of all authorized vendors for IT equipment.
",rdbms
2852,"Show the quarterly financial performance for the subsidiaries.
",rdbms
2853,"List the success rate of campaigns conducted by the marketing department.
",rdbms
2854,"Which products have the most frequent returns by customers?
",rdbms
2855,"Retrieve all details of completed construction projects in urban areas.
",rdbms
2856,"How many members have renewed their subscription this month?
",rdbms
2857,"List the current tenants and their lease expiration dates.
",rdbms
2858,"Display all shareholders with more than 5% stake in the company.
",rdbms
2859,"What is the average resolution time for customer complaints?
",rdbms
2860,"Identify the countries with the highest export volumes.
",rdbms
2861,"Retrieve the rental history for a specific vehicle in the fleet.
",rdbms
2862,"List the donations made by individuals over the past year.
",rdbms
2863,"How many devices are currently assigned to each IT staff member?
",rdbms
2864,"Display the list of all international students along with their courses.
",rdbms
2865,"Retrieve the stock levels after each purchase order fulfillment.
",rdbms
2866,"Find the success rates of surgical procedures performed in the hospital.
",rdbms
2867,"List the number of patients seen by each doctor per day.
",rdbms
2868,"How much time do employees spend on average attending meetings each week?
",rdbms
2869,"Show the annual membership growth for the club over the last five years.
",rdbms
2870,"Retrieve the feedback from participants of all training programs.
",rdbms
2871,"List the current available balance for all gift cards sold.
",rdbms
2872,"What is the turn-around time for processing loan applications?
",rdbms
2873,"Find the list of authors with multiple publications in the database.
",rdbms
2874,"Retrieve all open and closed incident reports filed this year.
",rdbms
2875,"Display the daily foot traffic metrics for retail stores.
",rdbms
2876,"List the materials required for each manufacturing process.
",rdbms
2877,"What are the successful completion rates of assignments?
",rdbms
2878,"Identify the top five committees with the most active participants.
",rdbms
2879,"Show details of all housing units sold within the last decade.
",rdbms
2880,"How many books are checked out on average each month?
",rdbms
2881,"List the maintenance costs per vehicle in the company’s fleet.
",rdbms
2882,"Retrieve the average duration of employee tenures.
",rdbms
2883,"What are the attendance rates for all hosted webinars?
",rdbms
2884,"Display the full performance review history of a specific employee.
",rdbms
2885,"Find the list of courses requiring prerequisites before enrollment.
",rdbms
2886,"Show the sales trends of each seasonal product.
",rdbms
2887,"Retrieve the number of confirmed and pending hotel bookings.
",rdbms
2888,"Find all orders placed by a specific customer within the last year.
",rdbms
2889,"Retrieve the list of products that have never been sold.
",rdbms
2890,"Get the total sales amount for each product category in the last month.
",rdbms
2891,"List all employees who have been with the company for over five years and their respective departments.
",rdbms
2892,"Retrieve a list of customers who have ordered more than 10 times in the past.
",rdbms
2893,"Find the average order value for each customer.
",rdbms
2894,"Show the top 10 selling products of the past quarter.
",rdbms
2895,"Generate a report of weekly sales totals over the past year.
",rdbms
2896,"List all suppliers who have not delivered any products in the past six months.
",rdbms
2897,"Find customers who have spent more than a specified amount in their lifetime.
",rdbms
2898,"Retrieve orders that include products from multiple categories.
",rdbms
