nl_query,db
"Retrieve the number of active licenses per software category.
",rdbms
"List all articles published in the journal's latest issue.
",rdbms
"Find all warehouses with storage utilization below 50%.
",rdbms
"Display vendor payment histories with outstanding balances.
",rdbms
"Show all user accounts locked due to incorrect login attempts.
",rdbms
"Retrieve machinery maintenance records overdue by more than 10 days.
",rdbms
"List all teachers handling three or more different subjects.
",rdbms
"Find stock items with a turnover rate exceeding quarterly projections.
",rdbms
"Display students with identical scores in more than one subject.
",rdbms
"Retrieve all facilities closed temporarily within the calendar year.
",rdbms
"List all conference attendees from the healthcare sector.
",rdbms
"Find all foreign exchange transactions in the messaging system.
",rdbms
"Show all expired subscription services as of last month.
",rdbms
"Retrieve the list of athletes with qualifying scores for the finals.
",rdbms
"List all publications older than 100 years in the library catalog.
",rdbms
"Find all overdue books and their respective borrowers.
",rdbms
"Display the schedule for public transport during holidays.
",rdbms
"Show artists with more than ten artworks listed for sale.
",rdbms
"Retrieve payments processed through multiple payment gateways.
",rdbms
"List all doctors who have on-call duties this week.
",rdbms
"Find categories of products with declining month-over-month sales.
",rdbms
"Display all available courses for the upcoming semester.
",rdbms
"Retrieve character names played by actors in more than one franchise.
",rdbms
"List all completed infrastructure projects in the last 10 years.
",rdbms
"Find unclaimed insurance policies after the policy end date.
",rdbms
"Show the enrollment count for each class in the upcoming year.
",rdbms
"Retrieve broadcast times for all live events on the network.
",rdbms
"List all landmarks and their visitor statistics.
",rdbms
"Find internship opportunities at companies within a specific location.
",rdbms
"Display all rental properties with a vacancy longer than 6 months.
",rdbms
"Show research papers published in journals with an impact factor above 5.
",rdbms
"Retrieve the history of all high-severity technical incidents.
",rdbms
"List alumni who graduated with honors in the last decade.
",rdbms
"Find all asset classes with an average annual return above 8%.
",rdbms
"Display all tailgating events associated with major events.
",rdbms
"Show non-profit organizations with annual donations above $50,000.
",rdbms
"Retrieve conference papers presented by the same author group.
",rdbms
"List all products recalled due to safety concerns.
",rdbms
"Find the pension plan beneficiaries with incorrect or missing information.
",rdbms
"Display all logistics companies with partnerships in Europe.
",rdbms
"Retrieve photographers with collections in both online and physical formats.
",rdbms
"List all verified suppliers certified by environmental standards.
",rdbms
"Find all technical certifications renovable within the year.
",rdbms
"Show all recurring inventory audit discrepancies.
",rdbms
"Retrieve companies with a corporate social responsibility score above average.
",rdbms
"List all emerging market funds underperforming since inception.
",rdbms
"Find current sports teams with players from over 10 different countries.
",rdbms
"Display all renovation plans for commercial buildings since 2020.
",rdbms
"What are the names and birthdates of all employees in the ""HR"" department?
",rdbms
"How many products have been sold in the third quarter of 2022?
",rdbms
"List the top 10 customers by total purchase amount in the past year.
",rdbms
"What is the average order value for each region?
",rdbms
"Find the total sales and number of transactions for each month in 2023.
",rdbms
"Retrieve all invoices that were paid late, along with the days delayed.
",rdbms
"List all projects that are currently overdue along with their managers.
",rdbms
"What is the maximum, minimum, and average salary in each department?
",rdbms
"Find all students who have enrolled in both the Computer Science and Math courses.
",rdbms
"List employees who have been promoted more than twice within the company.
",rdbms
"Provide a list of customers who have placed more than five orders this year.
",rdbms
"Calculate the total revenue generated by each product category.
",rdbms
"Retrieve the contact details of all suppliers from Germany.
",rdbms
"What are the details of the workers who are on a night shift schedule this week?
",rdbms
"Display the names of students who have not completed their assignments.
",rdbms
"List the suppliers who provide more than three types of products.
",rdbms
"How many employees joined the company in each quarter of 2021?
",rdbms
"What is the total number of hours worked by each employee in August?
",rdbms
"List all books written by authors from Canada and published after 2015.
",rdbms
"Find all customers who have returned more than two items.
",rdbms
"Provide the list of all stores with their total sales and inventory levels.
",rdbms
"What are the names of patients visited for a follow-up within the first month after surgery?
",rdbms
"List all packages that have been shipped but not yet delivered.
",rdbms
"Retrieve the membership details of users whose subscription expires next month.
",rdbms
"How many appointments have been booked without being canceled in the past month?
",rdbms
"List all manufacturers who distribute more than ten different products.
",rdbms
"What is the attendance rate of students in the ""Introduction to Philosophy"" course?
",rdbms
"Find the top five regions with the greatest number of new store openings in 2022.
",rdbms
"How many different training programs has each employee attended?
",rdbms
"List all transactions involving more than 1,000 units of product.
",rdbms
"Provide the borrowing history of books in the library whose ISBN starts with ""978"".
",rdbms
"Retrieve details of employees who have not taken a vacation in the last year.
",rdbms
"How many different courses has each professor taught in the last academic year?
",rdbms
"List all purchase orders that exceeded the budget allocated for the department.
",rdbms
"What are the names and enrollment numbers of students graduating this semester?
",rdbms
"List all projects with more than five team members and their current status.
",rdbms
"Find patients with prescriptions expiring next month.
",rdbms
"How many active users are registered in each membership tier?
",rdbms
"Display all flights departing from ""JFK"" airport within the next 24 hours.
",rdbms
"List all properties in the real estate database that have multiple viewing requests.
",rdbms
"What are the names and assigned rooms of all conference participants?
",rdbms
"Retrieve sales data for products priced over $500.
",rdbms
"List all employees who have been with the company for over ten years.
",rdbms
"Provide the shipping status and expected delivery date for the last ten orders.
",rdbms
"What is the average rating of courses taught by each instructor?
",rdbms
"List all cars in the dealership's inventory costing more than $30,000.
",rdbms
"Find all vendors with whom the company has contracts ending this year.
",rdbms
"How many products are there in each category with stock less than 50?
",rdbms
"Retrieve the work schedules of all staff members in the operations department.
",rdbms
"List all films that have won at least three awards.
",rdbms
"What are the upcoming expiration dates for software licenses?
",rdbms
"Display the cumulative sales amount for each salesperson.
",rdbms
"List all rentals with a duration longer than 30 days.
",rdbms
"Retrieve the list of volunteers for upcoming community events.
",rdbms
"How many customers made their first purchase with us this quarter?
",rdbms
"List all artworks that have been exhibited more than once.
",rdbms
"What are the payment details for invoices over $5,000?
",rdbms
"Find customers whose total account balance exceeds their credit limit.
",rdbms
"Retrieve names and last contact dates of leads without a follow-up.
",rdbms
"List all training sessions held in the corporate office this year.
",rdbms
"How many support tickets has each agent resolved this month?
",rdbms
"Provide a list of products added to the catalog in the past quarter.
",rdbms
"What are the names of teachers assigned as mentors in the mentorship program?
",rdbms
"List the details of all warranty claims submitted in the last three months.
",rdbms
"Find customers whose purchase history indicates they buy annually.
",rdbms
"List all graduates with honors distinction in the current academic year.
",rdbms
"Retrieve titles and authors of all overdue library books.
",rdbms
"What is the current occupancy rate for all hotel rooms?
",rdbms
"List employees who have completed more than ten projects this year.
",rdbms
"How many items did each supplier deliver in the previous quarter?
",rdbms
"What are the average guest ratings for all hotel properties?
",rdbms
"List all research papers published in peer-reviewed journals this year.
",rdbms
"Retrieve transaction details where the fraud score exceeds 90.
",rdbms
"Find all accounts with subscriptions not renewed for the past two cycles.
",rdbms
"List all clinics with average patient visits of over 50 per day.
",rdbms
"What are the active promotional campaigns and their expiration dates?
",rdbms
"Display the series name and volume count for comic book series with more than 20 volumes.
",rdbms
"Find events booked in venues with a capacity of over 500 people.
",rdbms
"List all current job openings along with their respective department managers.
",rdbms
"Retrieve artist names whose works were sold for above average prices.
",rdbms
"How many tickets have been sold for concerts next month?
",rdbms
"Display the top 15 most-viewed products in the online catalogue.
",rdbms
"List all content contributors with more than 100 approved articles.
",rdbms
"Provide the names of bloggers with over 1,000 followers.
",rdbms
"What are the details of customer feedback regarding late deliveries?
",rdbms
"List the maintenance history for each piece of machinery in the factory.
",rdbms
"Find all users who left reviews rated below three stars in the last month.
",rdbms
"Retrieve policies issued by each agent along with the commission details.
",rdbms
"Display names and registration dates of members with expired access.
",rdbms
"List course names and descriptions that have been updated this semester.
",rdbms
"What are the most frequently rented items and their rental fees?
",rdbms
"List all building permits issued by the local authority in the last year.
",rdbms
"How many followers are there for the top 10 influencers in the database?
",rdbms
"Retrieve campaign contributions and amounts exceeding $5,000.
",rdbms
"What is the purchase order count and summary for each local vendor?
",rdbms
"List franchises that reported a 20% or higher sales increase this year.
",rdbms
"Display complaints sorted by urgency level from clients.
",rdbms
"How many claims are outstanding from each insurance policyholder?
",rdbms
"Retrieve service call records with a resolution time over the average.
",rdbms
"List cooking classes scheduled in the upcoming quarter.
",rdbms
"Find all gym members with more than 50 visits last year.
",rdbms
"List ongoing research projects with external funding sources.
",rdbms
"What are the skill sets of candidates who applied for the software developer role?
",rdbms
"Retrieve report cards of students receiving scholarships.
",rdbms
"Display all the users participating in multiple book clubs.
",rdbms
"List all vehicles with service histories flagged for critical issues.
",rdbms
"What are the collaboration agreement details with international partners?
",rdbms
"Provide a list of tenants with leases due for renewal this quarter.
",rdbms
"Find all employees who report to a manager in a specific department.
",rdbms
"Retrieve a list of customers along with the total amount they have spent.
",rdbms
"Get a list of all products that have never been ordered.
",rdbms
"Find all orders placed in the last month, sorted by order value.
",rdbms
"Provide a report of employee salaries categorized by department.
",rdbms
"List students who are enrolled in more than three courses.
",rdbms
"Get names of authors who have published more than five books.
",rdbms
"Retrieve purchases greater than $500 from clients who are also employees.
",rdbms
"Find all movies released in the same year as “The Godfather.”
",rdbms
"Get a list of all suppliers based in Germany along with supplied products.
",rdbms
"Find all flights with connections in more than one country.
",rdbms
"List tenants with rental agreements longer than one year.
",rdbms
"Provide the average test score for each classroom.
",rdbms
"Retrieve customers who made purchases in both January and February.
",rdbms
"Get departments with more than ten employees and an average salary above $70,000.
",rdbms
"Find all patients with more than two upcoming appointments.
",rdbms
"List all products that haven't been sold in the last year.
",rdbms
"Retrieve every customer's recent purchase and their last communication.
",rdbms
"Get a list of all buildings managed by the same property manager.
",rdbms
"Find all sales representatives who exceeded their sales targets.
",rdbms
"Provide a breakdown of daily sales per product category.
",rdbms
"Retrieve a list of rental cars currently overdue by more than three days.
",rdbms
"Get the names of students who failed two or more subjects.
",rdbms
"Find all volunteers who participated in both summer and winter programs.
",rdbms
"List all software engineers with Python and Java certifications.
",rdbms
"Retrieve all events occurring on national holidays.
",rdbms
"Get a list of all books borrowed and not returned in the last six months.
",rdbms
"Find all members who renewed their membership after expiration.
",rdbms
"List all internships completed by students who graduated this year.
",rdbms
"Provide the total hours worked by each part-time employee.
",rdbms
"Retrieve the top ten customers by total purchase value.
",rdbms
"Get a list of all items currently out of stock.
",rdbms
"Find all guests with reservations overlapping a major holiday.
",rdbms
"List all employees who have received an award in the last year.
",rdbms
"Retrieve all projects with a deadline in the next 30 days.
",rdbms
"Get companies that have contracts expiring this quarter.
",rdbms
"Find all classes scheduled for evenings in the upcoming semester.
",rdbms
"List products with more than a 10% increase in price last year.
",rdbms
"Provide the numbers of returned items per supplier.
",rdbms
"Retrieve a list of all concerts attended by VIP members.
",rdbms
"Get authors who collaborated on books written in two languages.
",rdbms
"Find all teachers whose classes have an average score above 85%.
",rdbms
"List employees with birthdays in the current month.
",rdbms
"Retrieve all invoices unpaid for more than 60 days.
",rdbms
"Get members who participated in workshops in successive years.
",rdbms
"Find all students who have changed courses more than twice.
",rdbms
"List libraries that haven't updated their catalog in the past two years.
",rdbms
"Provide the average delivery time per shipping company.
",rdbms
"Retrieve the most borrowed book categories in the past year.
",rdbms
"Get regions with sales growth above 20% in the last quarter.
",rdbms
"Find all donors who contributed to multiple causes.
",rdbms
"List all alumni who now work at Fortune 500 companies.
",rdbms
"Retrieve subscribers with renewal dates within the next month.
",rdbms
"Get a list of all courses that haven't been offered recently.
",rdbms
"Find all machines undergoing maintenance more than once a year.
",rdbms
"List all clients with both a banking and investment account.
",rdbms
"Provide details on all shared workspace reservations this month.
",rdbms
"Retrieve the quantity sale trends per product over the last five years.
",rdbms
"Get all staff members with performance scores above 90%.
",rdbms
"Find all authors with more than three distinct publishers.
",rdbms
"List musicians banned from venues after the incident.
",rdbms
"Retrieve venues with capacity over 1000 and bookings this month.
",rdbms
"Get all orders that include items from both major categories.
",rdbms
"Find employees who have taken breaks longer than two weeks.
",rdbms
"List all software licenses expiring this calendar year.
",rdbms
"Provide sales figures above a certain threshold by product and month.
",rdbms
"Retrieve a schedule of all recurring appointments for clients.
",rdbms
"Get all branches that exceeded quarterly financial goals.
",rdbms
"Find restaurants that have not updated their menus this season.
",rdbms
"List all transactions processed through a specific payment system.
",rdbms
"Retrieve professors who teach both undergrad and graduate classes.
",rdbms
"Get real estate properties sold in less than a month.
",rdbms
"Find subscribers who use more than one service.
",rdbms
"List departments with fewer than five staff members.
",rdbms
"Provide records of all audits conducted in the past two years.
",rdbms
"Retrieve customer support incidents resolved in a week.
",rdbms
"Get all partnerships that have existed longer than a decade.
",rdbms
"Find warehouses with inventory below safety levels.
",rdbms
"List all communications sent to premium customers this year.
",rdbms
"Retrieve parking violations issued near schools.
",rdbms
"Get branches operating on reduced hours today.
",rdbms
"Find users inactive for more than six months on the platform.
",rdbms
"List coaches with national team experience.
",rdbms
"Provide the list of all medals won by athletes in two events.
",rdbms
"Retrieve contracts signed with a specific legal clause included.
",rdbms
"Get beneficiaries receiving more than one scholarship.
",rdbms
"Find construction projects postponed more than twice.
",rdbms
"List investigators who have not completed an assigned case.
",rdbms
"Provide details of purchases during flash sales events.
",rdbms
"Retrieve courses that require prerequisites not updated in the system.
",rdbms
"Get all drivers with a perfect safety record over ten years.
",rdbms
"Find startups with funding rounds exceeding $10 million.
",rdbms
"List export orders processed faster than in the previous cycle.
",rdbms
"Provide a categorization of artwork by era in the gallery.
",rdbms
"Retrieve machine production exceeding set targets last month.
",rdbms
"Get a list of all items involved in recalls.
",rdbms
"Find all store locations with only part-time employees.
",rdbms
"List researchers affiliated with multiple academic institutions.
",rdbms
"Retrieve magazine issues with special features on technology.
",rdbms
"Get contracts with both international and local partners.
",rdbms
"Find classes with more than half the seats filled two months early.
",rdbms
"List all items with both online and physical shop promotions.
",rdbms
"Provide a breakdown of employee age range in every department.
",rdbms
"Retrieve shipments with routes spanning three or more countries.
",rdbms
"Get a list of all canceled reservations due to weather.
",rdbms
"Find retail locations with weekend-only hours.
",rdbms
"List suppliers involved in joint ventures this financial period.
",rdbms
"Provide a report on test scores with a deserving award scheme.
",rdbms
"Retrieve team members scheduled for promotion this quarter.
",rdbms
"Get all customer queries with escalations in the last 24 hours.
",rdbms
"Find all hotel rooms booked for consecutive weekends.
",rdbms
"List donors with major donations to political campaigns.
",rdbms
"Retrieve repair requests pending for household appliances.
",rdbms
"Get a list of all guest lecturers invited this academic year.
",rdbms
"Find services with price changes affecting ongoing contracts.
",rdbms
"List all financial transactions exceeding $1 million.
",rdbms
"Provide an overview of participants in a technology summit.
",rdbms
"Retrieve rental properties with restrictions on pets.
",rdbms
"Get couples who had more than one wedding event overseas.
",rdbms
"Find customers with disputed charges on their credit accounts.
",rdbms
"List all schools with declining student enrollments.
",rdbms
"Provide total expenses claimed by department for last year.
",rdbms
"Retrieve on-call schedules for healthcare providers this week.
",rdbms
"Get department stores with extended holiday shopping hours.
",rdbms
"Find businesses that have violated compliance policies. 
",rdbms
"Find all customers who have placed orders in the last month.
",rdbms
"Retrieve the list of products that have never been ordered.
",rdbms
"List all employees and their respective managers.
",rdbms
"Show the order details for orders placed by a specific customer last year.
",rdbms
"Determine the average salary of employees in each department.
",rdbms
"Find the top 10 best-selling products in the last quarter.
",rdbms
"List suppliers who provide more than 5 different products.
",rdbms
"Identify students enrolled in more than three classes.
",rdbms
"Retrieve the history of purchases made by a customer over the past 5 years.
",rdbms
"Calculate the total revenue generated by each product category.
",rdbms
"Find all flights that a specific passenger has taken.
",rdbms
"Get the total number of orders that have been shipped.
",rdbms
"List all authors who have published more than two books.
",rdbms
"Retrieve the highest and lowest prices for all products.
",rdbms
"Find all customers who have not placed an order in the past year.
",rdbms
"Show the most recent hire for each department.
",rdbms
"List all departments along with the number of employees in each.
",rdbms
"Identify clients with overdue invoices.
",rdbms
"Retrieve the list of accounts with a balance greater than $10,000.
",rdbms
"Calculate the total hours worked by each employee in the last month.
",rdbms
"Find the average grade for students in each class.
",rdbms
"Determine the inventory level for each product.
",rdbms
"List all books borrowed from the library in the past year.
",rdbms
"Retrieve orders with a total value exceeding $1000.
",rdbms
"Find the most popular tourist destinations in the past year.
",rdbms
"List all tenants with rental agreements expiring in the next month.
",rdbms
"Identify projects completed under budget.
",rdbms
"Retrieve the list of products discontinued last year.
",rdbms
"Find employees who have not taken any leave this year.
",rdbms
"List all events scheduled in the next 30 days.
",rdbms
"Determine the number of units sold for each product.
",rdbms
"Retrieve all unpaid utility bills for each property.
",rdbms
"Find the highest annual sales by any individual sales representative.
",rdbms
"List conference attendees and their registered sessions.
",rdbms
"Identify courses with a waiting list of students.
",rdbms
"Retrieve library members with expired memberships.
",rdbms
"Find all vendors supplying more than one type of product.
",rdbms
"List all cars available for rent in the next week.
",rdbms
"Determine the most ordered meal in the restaurant last month.
",rdbms
"Retrieve the number of new users registered each month for the past year.
",rdbms
"Find the total distance traveled by each delivery driver.
",rdbms
"List all loans with outstanding payments.
",rdbms
"Identify employees due for performance reviews in the next month.
",rdbms
"Retrieve a list of assets assigned to each department.
",rdbms
"Find all properties managed by each real estate agent.
",rdbms
"List collaborations between artists and musicians.
",rdbms
"Identify training courses completed by each employee.
",rdbms
"Retrieve all volunteers and their assigned events.
",rdbms
"Find members who have attended gym at least once a week this year.
",rdbms
"List all maintenance requests pending action.
",rdbms
"Determine stations with the highest foot traffic in the last month.
",rdbms
"Retrieve the number of complaints received each month.
",rdbms
"Find all members and their contribution to club activities.
",rdbms
"List books that have been reserved by multiple users.
",rdbms
"Identify the number of items returned by each customer.
",rdbms
"Retrieve all transactions exceeding a specific amount for auditing.
",rdbms
"Find teachers handling more than one subject.
",rdbms
"List all students scheduled to graduate next term.
",rdbms
"Determine the average length of stay for hospital patients.
",rdbms
"Retrieve the occupancy rates of hotels over the past year.
",rdbms
"Find contractors assigned to more than two projects.
",rdbms
"List all films that have won multiple awards.
",rdbms
"Identify subscription plans with the highest number of upgrades.
",rdbms
"Retrieve meeting schedules for each department.
",rdbms
"Find professors teaching more than two different courses.
",rdbms
"List all cattle with recent veterinary appointments.
",rdbms
"Determine the maximum load capacity of each delivery truck.
",rdbms
"Retrieve a list of registered suppliers and their products.
",rdbms
"Find all of the biggest investors in each industry.
",rdbms
"List all locations with recent power outages.
",rdbms
"Identify devices assigned to users in the IT department.
",rdbms
"Retrieve the software versions used in each department.
",rdbms
"Find all accidents reported in the workplace this year.
",rdbms
"List all school classes and their assigned teachers.
",rdbms
"Determine the age group with the highest social media engagement.
",rdbms
"Retrieve the health records of patients with chronic conditions.
",rdbms
"Find the most frequently reviewed products last year.
",rdbms
"List all conference rooms and their booking schedules.
",rdbms
"Identify branches with the best customer satisfaction scores.
",rdbms
"Retrieve a list of products eligible for discounts.
",rdbms
"Find the largest transactions in terms of sheer volume in each region.
",rdbms
"List all legal cases handed over to external lawyers.
",rdbms
"Determine the utilization rate of factory machinery.
",rdbms
"Retrieve a list of vehicles serviced at the company workshop.
",rdbms
"Find employees who have received multiple awards.
",rdbms
"List all contracts due for renewal in the next quarter.
",rdbms
"Identify areas with the highest crime rate in the city.
",rdbms
"Retrieve the attendance records of students this semester.
",rdbms
"Find cities with growing populations over the past decade.
",rdbms
"List all members with active participation in club meetings.
",rdbms
"Determine the growth rate of subscribers for each service.
",rdbms
"Retrieve the payment history for each recurring order.
",rdbms
"Find departments responsible for the most revenue loss.
",rdbms
"List all wildlife species spotted in the national park last year.
",rdbms
"Identify tourists visiting more than three sites in the district.
",rdbms
"Retrieve the count of new employee orientations conducted annually.
",rdbms
"Find all flights with reported delays longer than 2 hours.
",rdbms
"List movie releases with the highest opening weekend earnings.
",rdbms
"Determine the frequency of equipment breakdowns in the factory.
",rdbms
"Retrieve the number of new products launched each quarter.
",rdbms
"Find library members with the most books borrowed this year.
",rdbms
"List all cities with recycling programs and participation levels.
",rdbms
"Identify the top-performing sales channels in each market segment.
",rdbms
"What are the top 10 best-selling products this month?
",rdbms
"List the customers who made purchases in both January and February.
",rdbms
"Which employees are assigned to more than three projects?
",rdbms
"Find all orders that have not been delivered yet.
",rdbms
"What is the average salary for employees in the Marketing department?
",rdbms
"List the top 5 suppliers by the number of products supplied.
",rdbms
"Which products have never been ordered?
",rdbms
"Find the total sales revenue generated from online orders.
",rdbms
"Which customers have not made any purchases in the last year?
",rdbms
"List all employees who report directly to the CEO.
",rdbms
"Which salesman's commissions exceeded $10,000 last quarter?
",rdbms
"Identify the top 3 categories of products sold in 2022.
",rdbms
"What are the names of authors with more than 5 published books?
",rdbms
"Find all students who are enrolled in Algebra and Chemistry.
",rdbms
"What days have the highest transaction counts over the last month?
",rdbms
"List all locations that have more than one branch.
",rdbms
"Find customers whose orders have been delayed more than twice.
",rdbms
"Which invoices were unpaid more than 60 days overdue?
",rdbms
"What is the total quantity of each product sold in the past week?
",rdbms
"Identify products with declining sales over the last three months.
",rdbms
"List managers with more than 10 subordinates.
",rdbms
"What events are scheduled for the next quarter?
",rdbms
"Identify the average delivery time for all shipments.
",rdbms
"Which tenants have rental agreements expiring this month?
",rdbms
"List all active users who registered in the last 6 months.
",rdbms
"Which books have been checked out but never returned?
",rdbms
"Find employees who have worked in more than three departments.
",rdbms
"What are the longest-running partnerships with vendors?
",rdbms
"Which accounts have been inactive for more than a year?
",rdbms
"List courses with more than 50 students enrolled.
",rdbms
"Find all rooms that are currently unavailable.
",rdbms
"What is the net profit by branch for the last fiscal year?
",rdbms
"Identify patients who have appointments within the next week.
",rdbms
"Which servers are hosting more than 100 virtual machines?
",rdbms
"List items in stock that have not been reordered in the last year.
",rdbms
"What are the most common customer complaints?
",rdbms
"Find departments with a budget over $1 million.
",rdbms
"Which products have been returned the most?
",rdbms
"List all patrons with overdue library books.
",rdbms
"What is the ratio of male to female employees?
",rdbms
"Identify books that have a waiting list.
",rdbms
"Which contractors have contracts worth over $500,000?
",rdbms
"What is the total expense for travel in 2023?
",rdbms
"List all vehicles that require maintenance this month.
",rdbms
"Identify suppliers who have been inactive this quarter.
",rdbms
"What is the performance ranking of all employees by group?
",rdbms
"Which programs are fully booked for the next quarter?
",rdbms
"List securities with less than 100 shares held.
",rdbms
"Identify customers with multiple accounts.
",rdbms
"Which scholarships have the highest number of applicants?
",rdbms
"List all tenants with outstanding rent payments.
",rdbms
"What are the ongoing projects in the Research department?
",rdbms
"Identify the least popular classes based on enrollment.
",rdbms
"Which vendors offer discounts on bulk orders?
",rdbms
"List all machines that have had maintenance twice this year.
",rdbms
"What is the total number of units produced by each factory?
",rdbms
"Identify orders placed by first-time customers this month.
",rdbms
"Which airports have the most international flights?
",rdbms
"List movies with a rating below 2 stars.
",rdbms
"What are the most frequently used shipping carriers?
",rdbms
"Identify crops planted by more than 20 farmers.
",rdbms
"Which contracts expire within the next 30 days?
",rdbms
"List teachers with more than 20 years of service.
",rdbms
"What is the longest wait time reported by customers?
",rdbms
"Identify products eligible for a promotional discount.
",rdbms
"Which parcels have been in transit for over 10 days?
",rdbms
"List properties that have changed ownership this year.
",rdbms
"What is the customer satisfaction score by region?
",rdbms
"Identify artists with more than five exhibitions.
",rdbms
"Which webinars have the most registered attendees?
",rdbms
"List all digital assets that require archive action.
",rdbms
"What are the shipment weights for orders over $500?
",rdbms
"Identify software licenses that are due for renewal.
",rdbms
"Which athletes have won more than five medals?
",rdbms
"List seminars that have issued certificates of completion.
",rdbms
"What products have a reorder level of less than 10?
",rdbms
"Identify all supervisors with fewer than three team members.
",rdbms
"Which employees have failed to complete annual training?
",rdbms
"List affiliates with more than 1,000 referrals.
",rdbms
"What books are most frequently requested?
",rdbms
"Identify the revenue streams that are underperforming.
",rdbms
"Which cities have employees with more than two job roles?
",rdbms
"List magazines with a subscription decline over 10%.
",rdbms
"What is the depletion rate for warehouse stock?
",rdbms
"Identify popular room service items by hotel.
",rdbms
"Which games have a review score below 50%?
",rdbms
"List training sessions with open attendance slots.
",rdbms
"What are the oldest active equipment items?
",rdbms
"Identify the most common causes for service outages.
",rdbms
"Which flights have overbooked seating?
",rdbms
"List properties under construction in the last quarter.
",rdbms
"What languages are used in automated procedures?
",rdbms
"Identify sectors with the highest employee turnover.
",rdbms
"Which stocks have a trading volume above 500,000?
",rdbms
"List all scheduled maintenance tasks for next week.
",rdbms
"What is the growth percentage by department?
",rdbms
"Identify the projects completed ahead of schedule.
",rdbms
"Which services have the lowest customer ratings?
",rdbms
"List all contracts awarded this quarter.
",rdbms
"What is the geographical distribution of warehouses?
",rdbms
"Identify critical system alerts from last month.
",rdbms
"Which stores have experienced stockouts most frequently?
",rdbms
"List attendees of the last annual conference.
",rdbms
"What is the approval rate for recent applications?
",rdbms
"Identify breaches in compliance within policies.
",rdbms
"Which campaigns have exceeded their targets?
",rdbms
"List all returns processed within the last month.
",rdbms
"What are the breakdowns of team productivity metrics?
",rdbms
"Identify houses listed for sale over six months.
",rdbms
"Which professors have submitted final grades late?
",rdbms
"List all cases open in the legal department.
",rdbms
"What is the utilization rate of shared resources?
",rdbms
"Identify partners with co-branding agreements.
",rdbms
"Which courses have students with a waiting list?
",rdbms
"List authors scheduled for book signings.
",rdbms
"What’s the success rate of closed support tickets?
",rdbms
"Identify grants awarded to more than 30 applicants.
",rdbms
"Which leaders have managed cross-functional projects?
",rdbms
"List all venues with event bookings in December.
",rdbms
"What are the vehicles' emissions compliance status?
",rdbms
"Identify all sales channels underperforming targets.
",rdbms
